Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,population__all__20_24__records,population__all__25_29__records,population__all__30_34__records,population__all__35_39__records,population__all__40_44__records,population__all__45_49__records,population__all__50_54__records,population__all__55_59__records,population__all__60_64__records,population__all__65_69__records,population__all__70_74__records,population__all__75_79__records,population__all__80_84__records,population__all__85_89__records,population__all__90_94__records,population__all__95_99__records
Venezuela,1950,5488619,234564,1026290,2494996,3531887,2867940,2993603,2646410,214132,791726,804174,664532,560439,881821,635715,441620,266517,138005,55769,12725,992,20,476452,405369,344341,291374,243909,197711,152790,113727,81828,56177,35677,20092,9392,3333,834,158
Venezuela,1951,5732110,245636,1073246,2601174,3684897,3000496,3130900,2770143,224946,827610,838815,689113,583480,927013,665677,460456,278729,143520,57902,13035,1088,36,500243,426770,361358,304319,254083,206373,159800,118929,85141,58379,37045,20857,9664,3371,873,215
Venezuela,1952,5980388,258616,1124433,2714548,3842969,3130517,3265790,2891599,235722,865817,875442,714673,605730,970191,695564,479169,291254,149256,60126,13378,1122,50,522691,447500,378235,317329,264156,215013,166938,124316,88609,60647,38475,21651,9969,3409,876,246
Venezuela,1953,6233187,271039,1180329,2834676,4005918,3258128,3398453,3010754,248422,909290,912579,741768,627461,1011232,725326,497803,304031,155264,62457,13746,1133,58,543781,467451,394921,330405,274207,223596,174193,129838,92275,62989,39969,22488,10296,3450,879,254
Venezuela,1954,6490133,282784,1238079,2961065,4173507,3383466,3529008,3127850,260625,955295,951999,770987,648926,1050041,754914,516448,316962,161574,64883,14129,1131,60,563516,486525,411378,343536,284343,232105,181518,135444,96175,65399,41518,23365,10639,3490,883,248
Venezuela,1955,6752147,294072,1296209,3093274,4346019,3507667,3658813,3244135,272216,1002137,994462,802603,670656,1086813,784403,535287,330140,168322,67484,14582,1126,60,582089,504724,427633,356770,294681,240606,188968,141172,100368,67954,43173,24311,11032,3550,887,239
Venezuela,1956,7020082,305385,1354820,3230921,4523978,3631887,3789101,3360267,283394,1049435,1039621,836480,693163,1122001,813832,554404,343658,175517,70278,15122,1126,60,599894,522107,443687,370145,305283,249121,196575,147083,104829,70688,44951,25327,11491,3631,892,234
Venezuela,1957,7294509,317580,1412993,3374452,4708608,3756530,3919997,3475777,294629,1095413,1089168,872291,716820,1156046,843094,573773,357391,182956,73123,15684,1110,60,617336,538710,459471,383623,316130,257643,204218,153173,109406,73550,46766,26357,11977,3707,889,221
Venezuela,1958,7576744,329591,1471015,3523365,4900421,3883183,4053322,3592168,306756,1141424,1143659,908691,742241,1189480,872285,593642,371425,190736,76101,16312,1100,57,634815,554665,475019,397266,327292,266350,211893,159532,114110,76626,48657,27444,12517,3795,890,210
Venezuela,1959,7865132,338263,1526158,3673993,5096739,4013509,4191086,3711439,318719,1187895,1200366,947469,770056,1222778,901506,614278,385903,199036,79354,17077,1098,53,652690,570088,490374,411132,338843,275435,219672,166231,118988,80048,50696,28658,13142,3935,896,202
Venezuela,1960,8156941,343681,1575680,3822785,5294660,4148278,4334107,3834492,327467,1231999,1257782,989323,800465,1256466,930699,635756,400833,207874,82931,17981,1102,49,671410,585056,505488,425211,350777,284979,227570,173263,124059,83815,52909,30022,13847,4134,907,195
Venezuela,1961,8453112,349747,1620269,3970262,5494954,4288009,4482805,3961898,333080,1270522,1316018,1033975,833280,1291281,959806,658073,416191,217237,86825,18996,1116,45,691412,599869,520355,439451,363081,294992,235602,180589,129378,87859,55306,31519,14609,4387,925,191
Venezuela,1962,8754089,357108,1660416,4117572,5698650,4432400,4636476,4093284,339368,1303308,1374039,1083117,868112,1327802,988677,681084,431769,226967,90894,20038,1133,41,712966,614836,534941,453736,375684,305400,243747,188022,134956,92011,57833,33061,15369,4669,943,190
Venezuela,1963,9059957,364116,1696014,4265296,5905537,4581051,4794624,4229450,346990,1331898,1432016,1137266,903616,1366900,1017328,704782,447591,237020,95141,21097,1149,37,736625,630275,549286,468042,388577,316205,252129,195462,140834,96186,60519,34622,16130,4967,965,184
Venezuela,1964,9371338,370732,1729875,4410884,6115444,4736991,4960421,4371658,354293,1359143,1487321,1193688,941584,1409477,1045814,729214,463847,247441,99657,22216,1171,33,762976,646501,563428,482386,401786,327428,260926,202921,147055,100386,63432,36225,16939,5277,995,176
Venezuela,1965,9688144,377004,1764746,4552881,6327700,4901445,5135234,4520327,361243,1387742,1537228,1250907,982698,1456019,1074108,754340,480648,258291,104494,23424,1212,29,792121,663898,577400,496708,415285,339055,270221,210427,153632,104659,66588,37906,17827,5597,1043,169
Venezuela,1966,10010689,383185,1799899,4691288,6541801,5074622,5319376,4674808,367918,1416714,1582422,1308967,1026685,1506706,1102472,780142,498091,269658,109630,24717,1275,25,823828,682878,591471,511001,429046,351096,280041,218050,160526,109132,69936,39694,18790,5927,1111,164
Venezuela,1967,10338851,389231,1833896,4824088,6757054,5258352,5514741,4837330,374526,1444665,1623371,1366821,1075256,1561444,1131247,806535,516258,281563,115003,26079,1356,22,857710,703734,605973,525274,443008,363527,290370,225888,167612,113951,73380,41623,19809,6270,1195,161
Venezuela,1968,10672653,395058,1866924,4951513,6972823,5452364,5721120,5009190,381035,1471866,1659933,1424656,1128943,1619277,1160636,833452,535277,293982,120592,27505,1456,20,892367,726910,621139,539497,457127,376325,301189,234088,174779,119203,76855,43737,20873,6632,1292,164
Venezuela,1969,11011332,400483,1898994,5073734,7188220,5655884,5937579,5190057,387353,1498511,1694882,1479858,1184997,1682311,1190757,860765,555156,306764,126311,28957,1561,19,929489,752822,637158,553599,471334,389431,312414,242742,181898,124866,80284,46027,21940,7017,1391,170
Venezuela,1970,11355474,405498,1929956,5190727,7402509,5869147,6164730,5382761,393281,1524458,1730995,1529776,1241959,1751417,1222093,888501,576082,320100,132351,30547,1680,17,969823,781594,654466,567627,485626,402875,324082,252000,189095,131005,83797,48554,23082,7465,1498,182
Venezuela,1971,11705678,410447,1959785,5302364,7615398,6092633,6403297,5587539,398794,1549338,1767546,1575033,1299881,1826125,1255306,916674,598137,334112,138888,32359,1815,17,1013153,812972,673461,581845,500023,416651,336225,261912,196510,137602,87590,51298,24366,7993,1616,199
Venezuela,1972,12061627,416251,1989395,5408544,7827341,6326571,6653064,5802849,404226,1573144,1803080,1616069,1357661,1907637,1290893,945107,621110,348568,145828,34303,1957,19,1061136,846501,694371,596522,514467,430640,348750,272360,204163,144405,91737,54091,25754,8549,1736,221
Venezuela,1973,12424811,423769,2020626,5511138,8040868,6570705,6913653,6028179,410477,1596857,1837755,1652757,1415429,1995048,1329444,973693,644890,363448,153201,36387,2113,20,1114301,880747,717588,611856,528899,444794,361605,283285,212201,151247,96347,56854,27269,9118,1866,247
Venezuela,1974,12796220,432100,2054612,5613979,8254539,6822133,7182220,6263919,418380,1622512,1871483,1687884,1470580,2087382,1371585,1002354,669438,378871,161062,38659,2289,21,1169980,917402,743525,628060,543258,459096,374786,294652,220794,158077,101480,59582,28954,9705,2015,274
Venezuela,1975,13176391,440902,2092185,5720413,8467538,7077927,7455954,6511103,427043,1651283,1904032,1724196,1520460,2183884,1417785,1031058,694714,394963,169463,41135,2492,24,1226665,957219,772252,645533,557545,473513,388282,306432,230026,164937,107117,62346,30805,10330,2190,302
Venezuela,1976,13566119,450752,2134399,5830692,8680713,7338635,7735400,6769325,436134,1683647,1935368,1760925,1565677,2284339,1468121,1059996,720629,411786,178414,43728,2710,27,1284344,999995,803478,664643,571969,488027,402037,318592,239873,171913,113138,65276,32737,10991,2381,329
Venezuela,1977,13965256,460807,2180625,5943632,8892260,7605272,8021595,7035184,446252,1719818,1966374,1796633,1606697,2389365,1522408,1089451,747083,429400,187887,46368,2936,29,1341931,1047434,836759,685649,586830,502621,415987,331096,250268,179132,119348,68539,34660,11708,2578,358
Venezuela,1978,14372959,470289,2228606,6058904,9101793,7877260,8314023,7305515,456537,1758317,1998847,1831451,1643408,2499572,1579588,1119553,774007,447895,197826,49010,3164,32,1399481,1100091,870665,708923,602325,517228,430103,343904,261132,186763,125570,72256,36512,12498,2776,388
Venezuela,1979,14788520,479334,2277099,6176308,9309268,8154081,8612176,7580897,466207,1797765,2033915,1865294,1678582,2609693,1641710,1150400,801320,467316,208142,51616,3397,36,1454378,1155315,906870,734840,618646,531754,444357,356963,272376,194940,131688,76454,38253,13363,2973,424
Venezuela,1980,15210441,487335,2324670,6295037,9513930,8435167,8915363,7862232,475451,1837335,2072417,1897950,1714928,2715525,1709556,1182332,828921,487587,218731,54159,3624,41,1503965,1211560,946121,763435,636175,546157,458691,370230,283905,203682,137685,81046,39905,14254,3160,464
Venezuela,1981,15638431,494012,2368996,6413834,9714466,8720930,9224552,8150172,483651,1874984,2115454,1929384,1751707,2817759,1782736,1216015,856918,508876,229805,56873,3863,45,1548925,1268834,988302,794434,655322,560693,473176,383742,295795,213081,143795,86010,41700,15173,3360,503
Venezuela,1982,16071654,499606,2408828,6531694,9908984,9011340,9539912,8444619,490517,1909222,2162384,1960482,1787494,2915883,1862578,1252021,885311,531162,241426,59904,4133,48,1589796,1326087,1035167,827411,676351,575670,487826,397485,308053,223109,150223,91203,43825,16079,3589,544
Venezuela,1983,16509603,505173,2444733,6648735,10097626,9305919,9860816,8744912,496291,1939560,2210978,1993024,1822400,3009820,1948245,1290888,913961,554242,253532,63288,4440,52,1626491,1383329,1087306,860939,699622,591266,502543,411418,320605,233637,157118,96414,46371,16917,3853,587
Venezuela,1984,16953240,511822,2478190,6766452,10284541,9604159,10186730,9050918,502022,1966368,2260102,2028160,1856344,3099685,2038792,1333171,942760,577978,266164,67053,4783,58,1661745,1437940,1142107,896685,725489,607682,517222,425538,333407,244571,164629,101535,49378,17675,4151,632
Venezuela,1985,17402310,519093.03,2510837,6885839,10473114,9905170,10516407,9361778,508809,1991744,2308278,2066724,1889073,3185496,2133413,1379238,971575,602143,279255,71085,5129,64,1698202,1487294,1197986,935427,753955,625283,531784,439791,346375,255768,172738,106517,52722,18363,4455,674
Venezuela,1986,17860872,529889,2547544,7010506,10666139,10209052,10850296,9677813,516215.03,2017655,2353165,2109797,1920555,3267125,2231987,1429183,1000669,626786,293053,75471,5467,70,1735078,1532047,1254922,977065,784719,644464,546447,454222,359533,267253,181494,111559,56349,19122,4748,719
Venezuela,1987,18328660,540917,2589603,7139843,10862395,10516319,11188740,9998147,527120,2048686,2393521,2156719,1951652,3343619,2335160,1482781,1030287,651790,307585,80107,5759,77,1770900,1572719,1311819,1023341,817318,665463,561476,468811,372820,278970,190779,116806,60060,20047,4994,765
Venezuela,1988,18800774,547818,2632933,7268111,11057981,10828155,11532581,10321580,538261,2085115,2429904,2205274,1984124,3414962,2443480,1538929,1060462,677011,322813,84820,5980,82,1805746,1609216,1368623,1074857,850324,688605,577030,483432,386198,290813,200424,122389,63634,21186,5168,812
Venezuela,1989,19275300,552625,2674422,7392578,11251236,11145310,11882636,10648138,545307,2121797,2463829,2254327,2019130,3483769,2551741,1599628,1091327,702478,338825,89596,6142,85,1839528,1644241,1422715,1129026,885396,714232,593333,497994,399715,302763,210345,128480,67010,22586,5281,861
Venezuela,1990,19750580,555919,2711928,7511303,11440864,11468145,12239191,10978508,550254,2156009,2496944,2302431,2057544,3552464,2655821,1665708,1123210,728201,355599,94383,6261,86,1872017,1680447,1471533,1184288,923366,742342,610776,512434,413398,314803,220467,135132,70208,24175,5356,905
Venezuela,1991,20226212,558118,2740857,7622198,11625855,11797948,12603925,11314957,553670,2182739,2534077,2347264,2100444,3620256,2756369,1736812,1156731,754321,373232,99357,6403,89,1903213,1717043,1515756,1240613,964185,772627,629766,526965,427336,326985,230827,142405,73443,25914,5466,937
Venezuela,1992,20700462,559301,2759907,7724036,11805136,12134443,12976336,11657558,555962,2200606,2576553,2387576,2147143,3686481,2852801,1814181,1192341,780752,391526,104510,6601,90,1933957,1752524,1555909,1296892,1009591,804590,650523,541818,441496,339256,241347,150179,76850,27660,5652,949
Venezuela,1993,21172098,559853,2772485,7816718,11978178,12476757,13355290,12006182,557211,2212632,2620301,2423932,2195440,3753026,2944988,1897047,1230503,807365,410205,109837,6879,90,1966020,1787006,1591948,1353040,1060231,836816,673352,557151,455753,351612,251926,158279,80554,29283,5936,943
Venezuela,1994,21640830,560288,2780570,7900556,12145323,12824355,13740184,12361634,557817,2220282,2662174,2457812,2244211,3820951,3033003,1984508,1271720,834066,429081,115392,7252,90,2000556,1820395,1626563,1406440,1113555,870953,698552,573168,469962,364104,262504,166577,84674,30718,6326,926
Venezuela,1995,22107288,560712,2785715,7976634,12307175,13176462,14130564,12724644,558309,2225003,2700017,2490902,2292058,3890963,3117009,2075924,1316421,860943,448192,121350,7704,89,2038483,1852480,1662404,1454605,1168027,907897,726113,590308,484087,376856,273139,175053,89311,32039,6794,910
Venezuela,1996,22572114,561803,2789771,8047005,12464529,13531680,14525022,13094533,558812,2227968,2729209,2528025,2336665,3964103,3196844,2171193,1364604,888187,467468,127767,8191,87,2080859,1883244,1698644,1498200,1223575,947618,755666,608938,498271,389916,283819,183649,94428,33339,7287,904
Venezuela,1997,23037560,563998,2794886,8113872,12617747,13889283,14923603,13472002,559997,2230888,2748483,2570503,2376813,4040680,3271701,2271123,1416128,916253,487191,134995,8719,85,2127062,1913618,1733845,1537856,1279171,991952,786776,629352,512838,403415,294695,192496,100125,34870,7789,930
Venezuela,1998,23503816,566648,2802166,8177754,12765693,14249039,15325977,13855712,562282,2235518,2761302,2614286,2413057,4120217,3341661,2376270,1469875,945216,507363,143049,9269,85,2174882,1945335,1768107,1573554,1334681,1041589,818041,651834,527959,417257,305829,201534,106288,36761,8279,990
Venezuela,1999,23966964,569903,2812186,8237931,12907673,14610084,15728951,14240135,564965,2242283,2769604,2656141,2446730,4202371,3408940,2481181,1527321,974458,527146,151105,9699,82,2223012,1979359,1801153,1607787,1387319,1093862,850901,676420,543541,430917,316897,210249,112333,38772,8634,1065
Venezuela,2000,24427732,573089,2824931,8293838,13043372,14973185,16133814,14624855,568272,2251842,2774979,2693928,2479518,4286550,3475863,2581826,1589383,1004415,546869,159331,10059,80,2270016,2016534,1832710,1643153,1434616,1147210,886313,703070,560045,444370,328115,218754,118314,41017,8913,1146
Venezuela,2001,24880210,575359,2838891,8341133,13170513,15339124,16538998,15004880,571529,2263532,2779262,2722980,2516087,4370910,3541105,2678342,1655153,1034836,565584,166734,10247,78,2313293,2057617,1862527,1678578,1477032,1201310,924041,731112,577527,457309,339072,226512,123626,43108,9050,1197
Venezuela,2002,25330926,577629,2852845,8379490,13289478,15710940,16951358,15387754,573819,2275216,2784536,2742109,2558012,4454195,3604561,2770891,1726613,1067183,584859,174552,10492,77,2351976,2102219,1891738,1712823,1515481,1255410,966235,760378,596668,470515,350525,234334,129064,45488,9258,1234
Venezuela,2003,25782032,579918,2866346,8413071,13401097,16085171,17368884,15776147,576090,2286428,2791932,2754793,2601284,4534966,3668183,2859492,1803354,1102271,605285,183136,10913,76,2386742,2148224,1922118,1746065,1550073,1309419,1013761,789593,617892,484379,362663,242622,134852,48284,9648,1265
Venezuela,2004,26226930,582280,2878754,8443751,13504639,16455725,17783102,16167315,578356,2296474,2802073,2762924,2642378,4612512,3732183,2943572,1884043,1139736,625823,191451,11404,76,2418510,2194002,1954359,1777824,1583135,1360437,1063955,820088,641037,498699,374802,251021,140384,51067,10128,1276
Venezuela,2005,26668790,585504,2890913,8473852,13601542,16820472,18194860,16563939,580662,2305409,2814861,2768078,2679017,4686523,3796786,3023378,1968517,1180512,647552,200456,12119,78,2448673,2237850,1989089,1807697,1617222,1406156,1115419,853098,666250,514262,387295,260257,146264,54192,10825,1294
Venezuela,2006,27102084,588553,2903607,8504157,13692127,17174376,18597850,16956896,583801,2315054,2828530,2772020,2706392,4758527,3862176,3098176,2056321,1223915,669867,209494,12982,77,2481578,2276949,2026862,1835314,1651154,1447022,1167804,888517,692784,531131,399803,270064,152105,57389,11661,1321
Venezuela,2007,27525096,590164,2915472,8534221,13776077,17515564,18990798,17343776,586760,2325308,2841875,2776874,2723334,4828519,3928356,3167033,2148235,1269599,693025,218691,14005,77,2518522,2309997,2066884,1861472,1683366,1483667,1220040,928195,720086,549513,412517,280508,158017,60674,12637,1368
Venezuela,2008,27933836,590679,2925458,8563657,13852650,17841996,19370102,17719976,588278,2334779,2854499,2783700,2733399,4893211,3994684,3229834,2244351,1315830,716337,227401,15056,77,2555594,2337617,2106933,1887751,1713829,1516005,1271628,972723,746518,569312,425239,291098,163719,63682,13621,1435
Venezuela,2009,28327896,590563,2932945,8591993,13920791,18153996,19735826,18084398,588709,2342382,2865777,2793271,2738815,4951491,4061332,3289027,2339742,1364134,739639,235586,16060,76,2589983,2361508,2146027,1915305,1742403,1546624,1319936,1019806,773588,590546,438101,301538,169313,66273,14540,1520
Venezuela,2010,28715026,589913,2936659,8619012,13981095,18456452,20095938,18443742,588531,2346746,2876785,2805568,2741676,5004519,4128728,3347448,2431234,1416257,764317,244597,17161,77,2620407,2384112,2183346,1945382,1769100,1578348,1362991,1068243,802846,613411,452057,312260,175673,68924,15520,1641
Venezuela,2011,29096158,588509,2936100,8643447,14030390,18752026,20452632,18798830,587841,2347591,2888428,2818919,2744046,5053657,4196062,3404278,2519443,1471842,790548,254431,18326,79,2642897,2410760,2216936,1979126,1793988,1610290,1401540,1117903,834540,637302,467389,323159,182822,71609,16531,1795
Venezuela,2012,29470428,586548,2932131,8663718,14068036,19042144,20806626,19149238,586412,2345583,2899442,2832145,2747967,5099320,4261625,3458842,2603911,1531989,818377,265048,19547,83,2656351,2442969,2245740,2015885,1817956,1640886,1436255,1167656,870479,661510,484135,334242,190690,74358,17564,1983
Venezuela,2013,29838022,584519,2925673,8679250,14097751,19328398,21158682,19495368,584417,2341154,2908847,2844730,2754362,5140973,4324002,3512926,2684472,1596419,848160,276585,20783,91,2664139,2476834,2270437,2053565,1842671,1670255,1467324,1217148,911663,684756,502460,345700,199234,77351,18592,2191
Venezuela,2014,30193260,582052,2916787,8688672,14120095,19606794,21504484,19833116,582321,2334735,2915883,2856002,2763625,5176697,4383120,3567045,2760583,1664002,879347,288217,21848,103,2667798,2508899,2292250,2090870,1869024,1698021,1497065,1263518,955723,708279,521988,357359,207807,80410,19463,2385
Venezuela,2015,30529722,579149,2905306,8691095,14133729,19870574,21838514,20158482,579704,2326157,2919009,2866780,2774919,5203631,4437990,3621038,2832063,1734223,911903,299992,22754,114,2667715,2535916,2312080,2125910,1897481,1723557,1527678,1304385,1000932,733291,542311,369592,216254,83738,20196,2558
Venezuela,2016,30741464,574322,2885779,8676099,14098010,20028986,22065252,20382546,575291,2311457,2914908,2875412,2775612,5181053,4467699,3665309,2893784,1804518,943641,310542,23095,112,2646299,2534754,2320789,2146910,1922659,1742650,1555326,1338458,1045529,758989,561787,381854,223711,86831,20523,2572
Venezuela,2017,30563430,561463,2840400,8611733,13907041,19854386,21951608,20284880,565433,2278937,2896911,2874422,2738538,5012542,4411008,3673161,2933643,1870705,971400,318383,22228,90,2556770,2455772,2283165,2127843,1927547,1745614,1571587,1362056,1085495,785210,578257,393143,229392,88991,19994,2234
Venezuela,2018,29825652,533226,2749950,8469721,13495333,19204692,21355872,19727538,545300,2216724,2859826,2859945,2653214,4642258,4220714,3624927,2944749,1931120,993798,324508,20583,60,2372398,2269860,2169314,2051400,1898310,1726617,1571991,1372758,1118830,812290,590202,403596,233925,90583,18833,1750
Venezuela,2019,28971686,494663,2629690,8287106,13055913,18476192,20684532,19086512,516052,2135027,2813251,2844165,2580064,4249555,3990984,3561432,2946664,1988994,1015916,331372,19551,47,2188743,2060812,2033770,1957214,1858670,1702762,1566770,1379894,1147493,841501,601283,414633,238776,92596,18120,1431
Venezuela,2020,28490458,462991,2510592,8115290,12790320,18097542,20375126,18775226,483267,2047601,2769121,2835577,2571761,4025304,3832298,3530465,2962333,2050311,1043093,339532,20029,43,2103269,1922035,1940896,1891402,1836478,1693987,1568177,1394156,1175382,874929,615962,427131,244388,95144,18618,1411
Venezuela,2021,28199862,444172,2395933,7944105,12616445,17904412,20255722,18640246,454764,1951761,2723693,2824479,2595212,3903186,3708418,3513984,2982785,2111144,1072609,347128,21256,36,2077128,1826058,1864618,1843800,1819499,1694485,1571596,1411189,1200827,910317,633481,439128,249808,97320,19722,1534